state,state_abbrev,statefips,state_pop2019,date_month,date_day,date_year,close_nonessential_bus,begin_reopen_month,begin_reopen_day,begin_reopen_year,mandate_mask_month,mandate_mask_day,mandate_mask_year,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home,merchants_all,merchants_inchigh,merchants_inclow,merchants_incmiddle,merchants_ss40,merchants_ss65,merchants_ss70,spend_acf,spend_aer,spend_all,spend_apg,spend_grf,spend_hcs,spend_tws,spend_all_inchigh,spend_all_inclow,spend_all_incmiddle,new_death_rate,governor_party,gov_inaug_date,begin_shelter_in_place
Alabama,AL,1,4903185,1.00,10.00,2020.00,28-Mar-20,4,30,2020,7,16,2020,,,,,,,-0.000674,-0.00995,0.00468,-0.00474,0.0016,-0.005,-0.0035,,,,,,,,,,,0,Republican,10-Apr-17,4-Apr-20
Alabama,AL,1,4903185,1.00,11.00,2020.00,28-Mar-20,4,30,2020,7,16,2020,,,,,,,-0.0104,-0.0155,-0.00783,-0.0122,-0.0114,-0.00976,-0.0147,,,,,,,,,,,0,Republican,10-Apr-17,4-Apr-20
Alabama,AL,1,4903185,1.00,12.00,2020.00,28-Mar-20,4,30,2020,7,16,2020,,,,,,,-0.0114,-0.016899999,-0.00857,-0.0135,-0.0124,-0.0122,-0.017000001,,,,,,,,,,,0,Republican,10-Apr-17,4-Apr-20
Alabama,AL,1,4903185,1.00,13.00,2020.00,28-Mar-20,4,30,2020,7,16,2020,,,,,,,-0.0134,-0.0187,-0.0121,-0.0136,-0.0139,-0.0122,-0.0143,-0.018300001,0.061900001,0.00883,0.00659,0.014,0.00136,0.0218,-0.00102,0.00914,0.00903,0,Republican,10-Apr-17,4-Apr-20
Alabama,AL,1,4903185,1.00,14.00,2020.00,28-Mar-20,4,30,2020,7,16,2020,,,,,,,-0.0139,-0.0178,-0.0151,-0.0114,-0.0147,-0.0115,-0.0156,-0.0097,0.080300003,0.00982,0.00893,0.00658,0.00134,0.0154,0.0012,0.0107,0.00976,0,Republican,10-Apr-17,4-Apr-20
Alabama,AL,1,4903185,1.00,15.00,2020.00,28-Mar-20,4,30,2020,7,16,2020,,,,,,,-0.0149,-0.0136,-0.0167,-0.013,-0.016799999,-0.0102,-0.017200001,-0.00113,0.098800004,0.0108,0.0113,-0.000838,0.00132,0.00904,0.00343,0.0123,0.0105,0,Republican,10-Apr-17,4-Apr-20
Alabama,AL,1,4903185,1.00,16.00,2020.00,28-Mar-20,4,30,2020,7,16,2020,,,,,,,-0.0165,-0.0117,-0.018999999,-0.0146,-0.0155,-0.0146,-0.0187,0.00745,0.117,0.0118,0.0136,-0.00825,0.0013,0.00268,0.00565,0.0139,0.0112,0,Republican,10-Apr-17,4-Apr-20
Alabama,AL,1,4903185,1.00,17.00,2020.00,28-Mar-20,4,30,2020,7,16,2020,,,,,,,-0.0137,-0.0149,-0.0155,-0.0113,-0.012,-0.0151,-0.0146,0.016000001,0.13600001,0.0128,0.015900001,-0.015699999,0.00128,-0.00369,0.00788,0.0155,0.0119,0,Republican,10-Apr-17,4-Apr-20
Alabama,AL,1,4903185,1.00,18.00,2020.00,28-Mar-20,4,30,2020,7,16,2020,,,,,,,-0.00398,-0.00743,-0.00614,-0.000544,0.00186,-0.0125,-0.00411,0.024599999,0.154,0.0138,0.018300001,-0.0231,0.00126,-0.0101,0.0101,0.017100001,0.0127,0,Republican,10-Apr-17,4-Apr-20
Alabama,AL,1,4903185,1.00,19.00,2020.00,28-Mar-20,4,30,2020,7,16,2020,,,,,,,-0.00311,-0.00598,-0.00515,-4.51E-06,0.004,-0.0162,4.52E-05,0.033199999,0.17200001,0.0147,0.0206,-0.0305,0.00123,-0.0164,0.0123,0.0187,0.0134,0,Republican,10-Apr-17,4-Apr-20
